"STATION","DATE","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"

"USW00003971","2021-02-08","68","42","    1","    1",,,,,"    1",
"USW00003971","2021-02-09","42","32","    1",,,,,,"    1",
"USW00003971","2021-02-10","32","28","    1",,,,,"    1","    1",
"USW00003971","2021-02-11","29","25","    1",,,,,"    1","    1",
"USW00003971","2021-02-12","28","24",,,,,,,"    1",
"USW00003971","2021-02-13","35","21","    1",,,,,"    1","    1",
"USW00003971","2021-02-14","25","11","    1",,,,,"    1","    1","    1"
"USW00003971","2021-02-15","14","6",,,,,,,,"    1"
"USW00003971","2021-02-16","20","-1",,,,,,,"    1",
"USW00003971","2021-02-17","28","19","    1",,,,,"    1","    1",
"USW00003971","2021-02-18","31","21",,,,,,,,
"USW00003971","2021-02-19","41","16",,,,,,,"    1",

